"Step","Init=inherit; thres=0.0245; L1=5e-3; sparsity=0.4 (176825_retrain_8417) - alpha val MAE","Init=inherit; thres=0.0245; L1=5e-3; sparsity=0.4 (176825_retrain_8417) - alpha val MAE__MIN","Init=inherit; thres=0.0245; L1=5e-3; sparsity=0.4 (176825_retrain_8417) - alpha val MAE__MAX","Init=rand; thres=0.0245; L1=5e-3; sparsity=0.4 (176825_retrain_823) - alpha val MAE","Init=rand; thres=0.0245; L1=5e-3; sparsity=0.4 (176825_retrain_823) - alpha val MAE__MIN","Init=rand; thres=0.0245; L1=5e-3; sparsity=0.4 (176825_retrain_823) - alpha val MAE__MAX"
"7","2.1342337131500244","2.1342337131500244","2.1342337131500244","2.197190046310425","2.197190046310425","2.197190046310425"
"16","0.44059959053993225","0.44059959053993225","0.44059959053993225","1.877905011177063","1.877905011177063","1.877905011177063"
"25","0.35267728567123413","0.35267728567123413","0.35267728567123413","0.6060255169868469","0.6060255169868469","0.6060255169868469"
"34","0.3576076626777649","0.3576076626777649","0.3576076626777649","0.9594557285308838","0.9594557285308838","0.9594557285308838"
"43","0.33520612120628357","0.33520612120628357","0.33520612120628357","0.5110124945640564","0.5110124945640564","0.5110124945640564"
"51","0.2734118402004242","0.2734118402004242","0.2734118402004242","0.35745561122894287","0.35745561122894287","0.35745561122894287"
"60","0.2540542781352997","0.2540542781352997","0.2540542781352997","0.3156733214855194","0.3156733214855194","0.3156733214855194"
"69","0.256599098443985","0.256599098443985","0.256599098443985","0.30689841508865356","0.30689841508865356","0.30689841508865356"
"78","0.22074578702449799","0.22074578702449799","0.22074578702449799","0.2970522940158844","0.2970522940158844","0.2970522940158844"
"87","0.2805960774421692","0.2805960774421692","0.2805960774421692","0.28710079193115234","0.28710079193115234","0.28710079193115234"
"96","0.21429067850112915","0.21429067850112915","0.21429067850112915","0.7465649843215942","0.7465649843215942","0.7465649843215942"
"104","0.22391493618488312","0.22391493618488312","0.22391493618488312","0.25080373883247375","0.25080373883247375","0.25080373883247375"
"113","0.21989640593528748","0.21989640593528748","0.21989640593528748","0.27966636419296265","0.27966636419296265","0.27966636419296265"
"122","0.43735307455062866","0.43735307455062866","0.43735307455062866","0.6417789459228516","0.6417789459228516","0.6417789459228516"
"131","0.1837085336446762","0.1837085336446762","0.1837085336446762","0.22336505353450775","0.22336505353450775","0.22336505353450775"
"140","0.22075816988945007","0.22075816988945007","0.22075816988945007","0.23309388756752014","0.23309388756752014","0.23309388756752014"
"148","0.520182192325592","0.520182192325592","0.520182192325592","0.7163004875183105","0.7163004875183105","0.7163004875183105"
"157","0.2212415486574173","0.2212415486574173","0.2212415486574173","0.3778942823410034","0.3778942823410034","0.3778942823410034"
"166","0.19915851950645447","0.19915851950645447","0.19915851950645447","0.2026209533214569","0.2026209533214569","0.2026209533214569"
"175","0.15631011128425598","0.15631011128425598","0.15631011128425598","0.1932690292596817","0.1932690292596817","0.1932690292596817"
"184","0.18159852921962738","0.18159852921962738","0.18159852921962738","0.35270819067955017","0.35270819067955017","0.35270819067955017"
"193","0.16322119534015656","0.16322119534015656","0.16322119534015656","0.21832075715065002","0.21832075715065002","0.21832075715065002"
"201","0.17879873514175415","0.17879873514175415","0.17879873514175415","0.2276659458875656","0.2276659458875656","0.2276659458875656"
"210","1.8911492824554443","1.8911492824554443","1.8911492824554443","0.21310864388942719","0.21310864388942719","0.21310864388942719"
"219","0.16786016523838043","0.16786016523838043","0.16786016523838043","0.18328754603862762","0.18328754603862762","0.18328754603862762"
"228","0.2337465137243271","0.2337465137243271","0.2337465137243271","0.21175502240657806","0.21175502240657806","0.21175502240657806"
