"Step","L1=1e-1 (61219) - alpha train MAE","L1=1e-1 (61219) - alpha train MAE__MIN","L1=1e-1 (61219) - alpha train MAE__MAX","L1=5e-2 (92158) - alpha train MAE","L1=5e-2 (92158) - alpha train MAE__MIN","L1=5e-2 (92158) - alpha train MAE__MAX","L1=5e-3 (18950) - alpha train MAE","L1=5e-3 (18950) - alpha train MAE__MIN","L1=5e-3 (18950) - alpha train MAE__MAX","L1=1e-3 (33351) - alpha train MAE","L1=1e-3 (33351) - alpha train MAE__MIN","L1=1e-3 (33351) - alpha train MAE__MAX","L1=1e-5 (27371) - alpha train MAE","L1=1e-5 (27371) - alpha train MAE__MIN","L1=1e-5 (27371) - alpha train MAE__MAX","Baseline (33525) - alpha train MAE","Baseline (33525) - alpha train MAE__MIN","Baseline (33525) - alpha train MAE__MAX"
"0","4.0140700340271","4.0140700340271","4.0140700340271","3.704279661178589","3.704279661178589","3.704279661178589","3.77681303024292","3.77681303024292","3.77681303024292","3.907395124435425","3.907395124435425","3.907395124435425","3.8221867084503174","3.8221867084503174","3.8221867084503174","3.743314504623413","3.743314504623413","3.743314504623413"
"1","2.8925983905792236","2.8925983905792236","2.8925983905792236","2.8767666816711426","2.8767666816711426","2.8767666816711426","2.8107376098632812","2.8107376098632812","2.8107376098632812","2.8547298908233643","2.8547298908233643","2.8547298908233643","2.8332653045654297","2.8332653045654297","2.8332653045654297","2.806640863418579","2.806640863418579","2.806640863418579"
"2","2.565086841583252","2.565086841583252","2.565086841583252","2.6237096786499023","2.6237096786499023","2.6237096786499023","2.5892183780670166","2.5892183780670166","2.5892183780670166","2.668637752532959","2.668637752532959","2.668637752532959","2.673464298248291","2.673464298248291","2.673464298248291","2.582977771759033","2.582977771759033","2.582977771759033"
"3","2.472496271133423","2.472496271133423","2.472496271133423","2.4166483879089355","2.4166483879089355","2.4166483879089355","2.453348398208618","2.453348398208618","2.453348398208618","2.3946807384490967","2.3946807384490967","2.3946807384490967","2.4702186584472656","2.4702186584472656","2.4702186584472656","2.455584764480591","2.455584764480591","2.455584764480591"
"4","2.3840482234954834","2.3840482234954834","2.3840482234954834","2.320925712585449","2.320925712585449","2.320925712585449","2.3166472911834717","2.3166472911834717","2.3166472911834717","2.3335981369018555","2.3335981369018555","2.3335981369018555","2.2780134677886963","2.2780134677886963","2.2780134677886963","2.349867582321167","2.349867582321167","2.349867582321167"
"5","2.3552744388580322","2.3552744388580322","2.3552744388580322","2.2595486640930176","2.2595486640930176","2.2595486640930176","2.268784284591675","2.268784284591675","2.268784284591675","2.2396340370178223","2.2396340370178223","2.2396340370178223","2.294358491897583","2.294358491897583","2.294358491897583","2.331773519515991","2.331773519515991","2.331773519515991"
"6","2.227167844772339","2.227167844772339","2.227167844772339","2.2771332263946533","2.2771332263946533","2.2771332263946533","2.209559917449951","2.209559917449951","2.209559917449951","2.1727752685546875","2.1727752685546875","2.1727752685546875","2.15029239654541","2.15029239654541","2.15029239654541","2.2760252952575684","2.2760252952575684","2.2760252952575684"
"8","2.270012855529785","2.270012855529785","2.270012855529785","2.280266046524048","2.280266046524048","2.280266046524048","2.2417707443237305","2.2417707443237305","2.2417707443237305","2.2696969509124756","2.2696969509124756","2.2696969509124756","2.1867482662200928","2.1867482662200928","2.1867482662200928","2.166405200958252","2.166405200958252","2.166405200958252"
"9","2.1985924243927","2.1985924243927","2.1985924243927","2.199855327606201","2.199855327606201","2.199855327606201","2.175930976867676","2.175930976867676","2.175930976867676","2.1810710430145264","2.1810710430145264","2.1810710430145264","2.087512731552124","2.087512731552124","2.087512731552124","2.1524579524993896","2.1524579524993896","2.1524579524993896"
"10","2.2413856983184814","2.2413856983184814","2.2413856983184814","2.0964105129241943","2.0964105129241943","2.0964105129241943","2.0809574127197266","2.0809574127197266","2.0809574127197266","2.12138032913208","2.12138032913208","2.12138032913208","2.0595016479492188","2.0595016479492188","2.0595016479492188","2.0840797424316406","2.0840797424316406","2.0840797424316406"
